"a_number","b_number","duration","weight","startTime","callDay","startDate"
"089-1000058","089-1000018","399","399.0","12.51","Sunday","20150922"
"089-1000058","089-1000006","558","558.0","12.45","Thursday","20150929"
"089-1000058","089-1000004","516","516.0","21.58","Wednesday","20150905"
"089-1000058","089-1000027","381","381.0","1.51","Thursday","20150924"
"089-1000058","089-1000049","142","142.0","13.27","Monday","20150917"
"089-1000058","089-1000072","548","548.0","4.38","Tuesday","20150921"
"089-1000030","089-1000005","419","419.0","4.45","Wednesday","20150917"
"089-1000030","089-1000029","13","13.0","9.46","Monday","20150902"
"089-1000030","089-1000067","371","371.0","21.42","Tuesday","20150901"
"089-1000030","089-1000036","321","321.0","23.46","Friday","20150916"
"089-1000030","089-1000062","265","2185.0","23.23","Tuesday","20150927"
"089-1000030","089-1000062","454","454.0","12.41","Monday","20150912"
"089-1000030","089-1000099","216","216.0","17.48","Sunday","20150914"
"089-1000030","089-1000079","446","446.0","9.46","Thursday","20150923"
"089-1000030","089-1000002","369","369.0","19.46","Tuesday","20150919"
"089-1000030","089-1000007","447","447.0","7.24","Sunday","20150929"
"089-1000030","089-1000041","353","353.0","1.11","Monday","20150924"
"089-1000030","089-1000031","135","135.0","14.36","Saturday","20150928"
"089-1000030","089-1000013","269","269.0","17.5","Sunday","20150911"
"089-1000030","089-1000024","228","228.0","6.4","Friday","20150910"
"089-1000034","089-1000005","422","422.0","15.42","Sunday","20150908"
"089-1000034","089-1000096","533","1973.0","21.18","Wednesday","20150902"
"089-1000034","089-1000093","14","14.0","3.14","Saturday","20150902"
"089-1000034","089-1000052","406","406.0","7.45","Saturday","20150908"
"089-1000034","089-1000019","286","286.0","19.31","Thursday","20150930"
"089-1000034","089-1000026","40","40.0","6.22","Tuesday","20150909"
"089-1000034","089-1000056","454","454.0","8.31","Thursday","20150914"
"089-1000034","089-1000015","349","349.0","18.13","Sunday","20150923"
"089-1000034","089-1000069","16","16.0","6.19","Thursday","20150924"
"089-1000034","089-1000098","35","35.0","22.53","Friday","20150901"
"089-1000034","089-1000096","358","358.0","10.31","Sunday","20150912"
"089-1000034","089-1000034","123","303.0","23.45","Thursday","20150920"
"089-1000034","089-1000058","534","534.0","18.53","Monday","20150924"
"089-1000034","089-1000014","123","123.0","17.22","Saturday","20150911"
"089-1000034","089-1000025","320","320.0","15.55","Monday","20150910"
"089-1000020","089-1000088","552","552.0","20.22","Saturday","20150931"
"089-1000020","089-1000007","262","262.0","7.18","Wednesday","20150926"
"089-1000020","089-1000049","250","250.0","4.33","Thursday","20150929"
"089-1000020","089-1000090","397","397.0","19.46","Friday","20150906"
"089-1000020","089-1000019","366","366.0","11.29","Sunday","20150901"
"089-1000020","089-1000073","182","182.0","21.58","Thursday","20150903"
"089-1000020","089-1000010","166","166.0","21.44","Tuesday","20150919"
"089-1000020","089-1000015","318","318.0","7.38","Friday","20150926"
"089-1000015","089-1000013","594","594.0","6.42","Wednesday","20150907"
"089-1000015","089-1000095","228","228.0","16.44","Tuesday","20150930"
"089-1000015","089-1000039","42","42.0","5.48","Wednesday","20150916"
"089-1000015","089-1000000","111","111.0","10.11","Thursday","20150922"
"089-1000015","089-1000091","508","508.0","22.32","Thursday","20150917"
"089-1000015","089-1000062","315","315.0","20.42","Tuesday","20150927"
"089-1000015","089-1000032","404","404.0","22.36","Sunday","20150905"
"089-1000015","089-1000016","375","375.0","10.49","Monday","20150921"
"089-1000015","089-1000002","334","334.0","23.16","Monday","20150927"
"089-1000015","089-1000076","155","155.0","3.56","Monday","20150931"
"089-1000015","089-1000097","265","265.0","19.5","Sunday","20150903"
"089-1000097","089-1000044","291","291.0","17.14","Saturday","20150907"
"089-1000097","089-1000075","179","179.0","14.45","Wednesday","20150912"
"089-1000097","089-1000009","191","191.0","21.28","Monday","20150913"
"089-1000097","089-1000098","482","482.0","10.55","Monday","20150925"
"089-1000097","089-1000054","355","1555.0","19.45","Wednesday","20150909"
"089-1000097","089-1000035","75","75.0","14.56","Friday","20150911"
"089-1000097","089-1000054","279","279.0","7.32","Sunday","20150903"
"089-1000097","089-1000064","201","201.0","14.44","Wednesday","20150904"
"089-1000097","089-1000040","29","29.0","7.16","Monday","20150930"
"089-1000097","089-1000024","336","336.0","2.53","Wednesday","20150904"
"089-1000097","089-1000084","486","486.0","0.24","Sunday","20150929"
"089-1000084","089-1000066","479","479.0","19.16","Tuesday","20150913"
"089-1000084","089-1000060","532","532.0","4.25","Tuesday","20150927"
"089-1000084","089-1000089","177","657.0","19.52","Tuesday","20150919"
"089-1000084","089-1000061","437","437.0","6.27","Thursday","20150910"
"089-1000084","089-1000053","164","164.0","12.17","Thursday","20150910"
"089-1000084","089-1000085","240","240.0","9.48","Saturday","20150914"
"089-1000084","089-1000089","63","63.0","6.11","Thursday","20150914"
"089-1000084","089-1000002","99","99.0","4.49","Thursday","20150910"
"089-1000084","089-1000051","424","424.0","13.52","Thursday","20150927"
"089-1000084","089-1000058","27","27.0","4.18","Saturday","20150928"
"089-1000084","089-1000095","490","490.0","4.33","Wednesday","20150915"
"089-1000084","089-1000063","532","532.0","12.14","Saturday","20150925"
"089-1000084","089-1000090","473","473.0","23.56","Monday","20150916"
"089-1000084","089-1000029","246","246.0","12.26","Sunday","20150920"
"089-1000084","089-1000011","354","354.0","1.21","Thursday","20150921"
"089-1000100","089-1000025","160","1360.0","7.31","Friday","20150914"
"089-1000100","089-1000027","121","121.0","23.19","Tuesday","20150917"
"089-1000100","089-1000088","207","207.0","6.57","Sunday","20150923"
"089-1000100","089-1000028","450","450.0","14.14","Tuesday","20150912"
"089-1000100","089-1000063","536","536.0","5.11","Sunday","20150904"
"089-1000100","089-1000055","131","131.0","16.14","Wednesday","20150913"
"089-1000100","089-1000068","72","72.0","7.17","Friday","20150915"
"089-1000100","089-1000025","256","256.0","23.59","Sunday","20150902"
"089-1000100","089-1000000","152","152.0","22.39","Saturday","20150911"
"089-1000100","089-1000077","152","152.0","16.4","Tuesday","20150904"
"089-1000044","089-1000086","265","265.0","13.33","Wednesday","20150915"
"089-1000044","089-1000089","63","63.0","17.1","Wednesday","20150919"
"089-1000044","089-1000048","30","30.0","13.42","Tuesday","20150909"
"089-1000044","089-1000046","317","317.0","22.11","Thursday","20150905"
"089-1000044","089-1000039","200","440.0","5.11","Tuesday","20150907"
"089-1000044","089-1000012","510","510.0","18.53","Thursday","20150902"
"089-1000044","089-1000059","361","361.0","10.37","Sunday","20150909"
"089-1000044","089-1000017","547","547.0","23.29","Thursday","20150906"
"089-1000044","089-1000060","248","248.0","1.55","Friday","20150908"
"089-1000044","089-1000039","49","49.0","14.38","Thursday","20150926"
"089-1000044","089-1000067","595","595.0","15.33","Thursday","20150917"
"089-1000044","089-1000082","269","269.0","6.37","Sunday","20150907"
"089-1000044","089-1000077","39","39.0","6.33","Wednesday","20150914"
"089-1000044","089-1000080","531","531.0","13.48","Tuesday","20150928"
"089-1000044","089-1000081","187","187.0","2.36","Wednesday","20150926"
"089-1000044","089-1000038","506","506.0","15.51","Wednesday","20150926"
"089-1000044","089-1000069","403","403.0","23.28","Tuesday","20150919"
"089-1000044","089-1000031","444","444.0","1.48","Thursday","20150927"
"089-1000031","089-1000086","87","87.0","11.5","Thursday","20150927"
"089-1000031","089-1000025","173","173.0","8.23","Saturday","20150925"
"089-1000031","089-1000035","224","224.0","19.29","Monday","20150903"
"089-1000031","089-1000005","510","510.0","17.26","Sunday","20150917"
"089-1000031","089-1000004","121","121.0","9.43","Sunday","20150925"
"089-1000031","089-1000084","176","176.0","12.28","Sunday","20150911"
"089-1000031","089-1000065","289","289.0","22.46","Monday","20150928"
"089-1000031","089-1000022","262","262.0","18.18","Friday","20150928"
"089-1000085","089-1000077","489","489.0","0.49","Thursday","20150920"
"089-1000085","089-1000013","500","500.0","7.16","Tuesday","20150930"
"089-1000085","089-1000010","216","216.0","15.5","Sunday","20150912"
"089-1000085","089-1000065","257","257.0","22.14","Friday","20150909"
"089-1000085","089-1000009","543","543.0","7.49","Tuesday","20150910"
"089-1000085","089-1000022","42","42.0","16.11","Saturday","20150920"
"089-1000085","089-1000056","49","49.0","21.23","Monday","20150914"
"089-1000085","089-1000048","94","94.0","20.54","Saturday","20150911"
"089-1000085","089-1000091","225","1665.0","6.39","Saturday","20150931"
"089-1000085","089-1000058","455","455.0","13.48","Tuesday","20150911"
"089-1000085","089-1000091","328","328.0","8.43","Friday","20150930"
"089-1000085","089-1000074","283","283.0","15.34","Friday","20150901"
"089-1000085","089-1000088","497","497.0","15.49","Tuesday","20150909"
"089-1000085","089-1000071","180","180.0","18.12","Saturday","20150914"
"089-1000071","089-1000006","142","142.0","18.48","Tuesday","20150914"
"089-1000071","089-1000050","386","386.0","5.42","Sunday","20150908"
"089-1000071","089-1000057","402","402.0","5.52","Sunday","20150930"
"089-1000071","089-1000074","547","547.0","14.11","Monday","20150920"
"089-1000071","089-1000031","65","65.0","13.54","Tuesday","20150911"
"089-1000071","089-1000044","261","261.0","7.19","Friday","20150910"
"089-1000071","089-1000077","559","559.0","5.43","Friday","20150925"
"089-1000071","089-1000028","226","226.0","6.31","Friday","20150905"
"089-1000071","089-1000080","589","589.0","21.46","Friday","20150913"
"089-1000071","089-1000007","474","474.0","12.47","Sunday","20150922"
"089-1000076","089-1000070","384","384.0","0.57","Monday","20150931"
"089-1000076","089-1000022","71","71.0","2.42","Saturday","20150913"
"089-1000076","089-1000028","494","494.0","14.58","Sunday","20150904"
"089-1000076","089-1000087","215","215.0","4.57","Tuesday","20150910"
"089-1000076","089-1000036","520","520.0","12.34","Sunday","20150901"
"089-1000076","089-1000099","216","216.0","23.34","Friday","20150902"
"089-1000076","089-1000004","171","171.0","5.13","Wednesday","20150913"
"089-1000076","089-1000084","406","406.0","3.48","Wednesday","20150905"
"089-1000076","089-1000050","264","264.0","0.33","Saturday","20150917"
"089-1000076","089-1000052","175","175.0","10.2","Tuesday","20150907"
"089-1000076","089-1000063","516","516.0","22.52","Tuesday","20150908"
"089-1000076","089-1000058","189","189.0","18.21","Thursday","20150911"
"089-1000076","089-1000015","148","148.0","23.43","Tuesday","20150923"
"089-1000076","089-1000056","264","264.0","19.47","Saturday","20150927"
"089-1000076","089-1000025","523","523.0","16.13","Saturday","20150926"
"089-1000038","089-1000020","326","326.0","20.41","Sunday","20150911"
"089-1000038","089-1000078","138","138.0","15.53","Tuesday","20150910"
"089-1000038","089-1000086","201","201.0","0.24","Tuesday","20150930"
"089-1000038","089-1000090","325","325.0","2.37","Wednesday","20150929"
"089-1000038","089-1000005","50","50.0","15.34","Wednesday","20150931"
"089-1000038","089-1000093","135","135.0","13.22","Saturday","20150901"
"089-1000038","089-1000061","288","288.0","3.55","Thursday","20150920"
"089-1000038","089-1000068","404","404.0","9.44","Monday","20150916"
"089-1000068","089-1000077","211","211.0","19.45","Tuesday","20150907"
"089-1000068","089-1000054","58","58.0","3.14","Tuesday","20150926"
"089-1000068","089-1000065","300","300.0","14.25","Monday","20150911"
"089-1000068","089-1000063","110","110.0","19.21","Monday","20150914"
"089-1000068","089-1000026","187","187.0","19.14","Sunday","20150901"
"089-1000068","089-1000012","297","297.0","6.37","Monday","20150914"
"089-1000068","089-1000093","224","224.0","0.19","Wednesday","20150914"
"089-1000068","089-1000071","457","457.0","5.26","Saturday","20150901"
"089-1000086","089-1000052","527","527.0","19.27","Monday","20150928"
"089-1000086","089-1000061","534","534.0","3.33","Wednesday","20150926"
"089-1000086","089-1000067","384","384.0","13.37","Saturday","20150917"
"089-1000086","089-1000024","538","538.0","11.41","Saturday","20150906"
"089-1000086","089-1000014","105","105.0","22.38","Wednesday","20150914"
"089-1000086","089-1000078","371","371.0","21.28","Friday","20150907"
"089-1000086","089-1000027","433","433.0","4.21","Sunday","20150916"
"089-1000086","089-1000091","12","12.0","15.17","Saturday","20150905"
"089-1000086","089-1000065","236","236.0","3.15","Tuesday","20150928"
"089-1000086","089-1000016","183","183.0","14.37","Monday","20150930"
"089-1000016","089-1000033","13","13.0","19.41","Monday","20150916"
"089-1000016","089-1000006","191","191.0","23.34","Tuesday","20150906"
"089-1000016","089-1000037","336","336.0","14.13","Wednesday","20150911"
"089-1000016","089-1000005","418","418.0","12.44","Tuesday","20150920"
"089-1000016","089-1000039","581","581.0","2.56","Saturday","20150923"
"089-1000016","089-1000058","590","590.0","12.53","Tuesday","20150917"
"089-1000080","089-1000097","260","260.0","13.5","Saturday","20150912"
"089-1000080","089-1000047","469","469.0","19.11","Friday","20150901"
"089-1000080","089-1000068","228","708.0","10.32","Friday","20150926"
"089-1000080","089-1000082","352","352.0","16.19","Sunday","20150925"
"089-1000080","089-1000008","448","448.0","3.54","Thursday","20150911"
"089-1000080","089-1000021","545","545.0","7.51","Wednesday","20150929"
"089-1000080","089-1000064","72","72.0","23.37","Thursday","20150928"
"089-1000080","089-1000068","109","109.0","2.39","Sunday","20150923"
"089-1000080","089-1000079","500","500.0","21.24","Tuesday","20150911"
"089-1000079","089-1000097","552","552.0","7.22","Saturday","20150907"
"089-1000079","089-1000018","134","134.0","17.2","Thursday","20150918"
"089-1000079","089-1000017","75","1755.0","18.15","Sunday","20150904"
"089-1000079","089-1000073","307","307.0","13.39","Wednesday","20150917"
"089-1000079","089-1000017","365","365.0","4.37","Monday","20150919"
"089-1000079","089-1000042","77","77.0","15.52","Monday","20150916"
"089-1000079","089-1000023","421","421.0","6.22","Thursday","20150912"
"089-1000079","089-1000072","522","522.0","23.31","Sunday","20150911"
"089-1000079","089-1000010","596","596.0","12.12","Wednesday","20150921"
"089-1000079","089-1000070","430","430.0","19.45","Tuesday","20150907"
"089-1000079","089-1000048","481","481.0","15.44","Friday","20150930"
"089-1000014","089-1000055","311","2711.0","0.1","Sunday","20150931"
"089-1000014","089-1000040","346","346.0","18.35","Thursday","20150910"
"089-1000014","089-1000034","128","128.0","14.22","Monday","20150901"
"089-1000014","089-1000055","596","596.0","0.4","Friday","20150920"
"089-1000014","089-1000047","280","280.0","23.38","Monday","20150919"
"089-1000014","089-1000035","240","240.0","4.49","Sunday","20150910"
"089-1000014","089-1000041","340","340.0","22.27","Thursday","20150906"
"089-1000041","089-1000031","299","299.0","22.14","Wednesday","20150902"
"089-1000041","089-1000068","91","91.0","4.36","Tuesday","20150917"
"089-1000041","089-1000059","420","420.0","18.59","Wednesday","20150930"
"089-1000041","089-1000082","219","219.0","1.31","Saturday","20150922"
"089-1000041","089-1000092","496","496.0","20.56","Thursday","20150901"
"089-1000041","089-1000036","567","567.0","7.55","Monday","20150921"
"089-1000041","089-1000088","48","48.0","14.39","Thursday","20150926"
"089-1000041","089-1000051","401","401.0","9.49","Monday","20150911"
"089-1000041","089-1000086","437","437.0","1.23","Friday","20150928"
"089-1000041","089-1000001","569","569.0","12.1","Sunday","20150907"
"089-1000041","089-1000072","216","216.0","21.53","Monday","20150929"
"089-1000041","089-1000050","225","225.0","3.33","Thursday","20150907"
"089-1000041","089-1000090","118","118.0","3.47","Monday","20150923"
"089-1000041","089-1000039","46","46.0","10.12","Monday","20150922"
"089-1000023","089-1000096","388","388.0","5.38","Tuesday","20150903"
"089-1000023","089-1000046","298","298.0","16.13","Saturday","20150912"
"089-1000023","089-1000098","310","310.0","18.26","Sunday","20150902"
"089-1000023","089-1000064","186","186.0","2.32","Wednesday","20150930"
"089-1000023","089-1000008","507","507.0","11.47","Saturday","20150902"
"089-1000023","089-1000095","130","130.0","4.5","Saturday","20150922"
"089-1000011","089-1000015","357","357.0","10.17","Tuesday","20150920"
"089-1000011","089-1000084","541","541.0","23.22","Tuesday","20150923"
"089-1000011","089-1000088","571","571.0","7.54","Friday","20150914"
"089-1000011","089-1000017","406","406.0","6.13","Sunday","20150931"
"089-1000011","089-1000044","260","260.0","17.23","Thursday","20150926"
"089-1000011","089-1000032","590","590.0","12.34","Friday","20150925"
"089-1000011","089-1000064","181","181.0","18.43","Sunday","20150919"
"089-1000011","089-1000026","36","36.0","20.12","Saturday","20150915"
"089-1000026","089-1000019","214","214.0","21.31","Tuesday","20150909"
"089-1000026","089-1000065","322","322.0","18.21","Friday","20150921"
"089-1000026","089-1000076","556","556.0","1.52","Saturday","20150909"
"089-1000026","089-1000043","223","1903.0","7.54","Tuesday","20150911"
"089-1000026","089-1000100","194","194.0","1.3","Friday","20150909"
"089-1000026","089-1000043","419","419.0","15.13","Tuesday","20150918"
"089-1000026","089-1000021","216","216.0","23.15","Friday","20150910"
"089-1000026","089-1000001","211","211.0","16.51","Tuesday","20150917"
"089-1000089","089-1000030","561","561.0","1.46","Wednesday","20150929"
"089-1000089","089-1000018","579","579.0","8.44","Thursday","20150903"
"089-1000089","089-1000060","537","537.0","18.33","Sunday","20150927"
"089-1000089","089-1000035","212","212.0","2.11","Thursday","20150931"
"089-1000035","089-1000083","244","244.0","4.41","Saturday","20150919"
"089-1000035","089-1000069","442","442.0","7.45","Friday","20150906"
