"089-1000042","6","7","71.02550894753682","AIS","female","#c458b7","3.0","2.47","435","1","38","c"
"089-1000087","10","11","105.54537839396588","AIS","female","#86cd45","4.0","2.34","891","0","31","b"
"089-1000056","8","9","60.85321600979075","AIS","male","#86cd45","4.0","2.49","616","0","37","i"
"089-1000049","8","11","104.94068966659488","AIS","female","#86cd45","3.0","2.39","899","0","23","i"
"089-1000054","14","11","171.49936250288187","AIS","male","#374771","3.0","2.1","831","3","33","b"
"089-1000099","5","13","75.17986257346703","AIS","female","#b3772e","4.0","2.61","440","5","32","g"
"089-1000003","14","5","116.3150785274237","AIS","female","#b3772e","3.0","2.1","401","5","37","a"
"089-1000095","16","14","267.8392507651447","AIS","male","#c458b7","3.0","2.15","671","1","34","f"
"089-1000073","10","12","130.96374776810643","AIS","female","#86cd45","3.0","2.33","728","0","29","c"
"089-1000081","11","9","122.60742315807263","AIS","female","#21dfc7","3.0","2.19","578","4","23","h"
"089-1000008","9","14","154.84908764775602","AIS","male","#21dfc7","3.0","2.23","533","4","35","h"
"089-1000048","13","11","174.01374545094652","AIS","male","#b3772e","3.0","2.16","592","5","38","d"
"089-1000052","14","7","118.82335253068223","AIS","male","#374771","3.0","2.05","616","3","36","h"
"089-1000091","12","16","214.7717401433226","AIS","male","#374771","3.0","2.15","455","3","27","i"
"089-1000077","8","12","115.17186870648555","AIS","female","#374771","3.0","2.4","753","3","32","i"
"089-1000009","11","8","99.70153859583644","AIS","male","#374771","3.0","2.26","824","3","27","b"
"089-1000027","10","11","148.88955407562506","AIS","female","#374771","3.0","2.32","642","3","20","i"
"089-1000012","11","7","114.8118740871359","AIS","male","#c458b7","3.0","2.24","815","1","33","a"
"089-1000066","13","13","188.60119042688686","AIS","female","#c458b7","3.0","2.13","487","1","22","f"
"089-1000043","11","11","161.92232815998585","AIS","female","#c458b7","3.0","2.13","804","1","40","g"
"089-1000063","10","7","96.9264325525123","AIS","male","#b3772e","3.0","2.22","630","5","28","c"
"089-1000000","6","11","105.23869829358713","AIS","female","#21dfc7","4.0","2.42","702","4","30","i"
"089-1000021","11","8","112.9447910004176","AIS","male","#374771","4.0","2.25","798","3","32","e"
"089-1000007","9","11","112.648578034739","AIS","male","#86cd45","3.0","2.35","877","0","27","i"
"089-1000083","9","2","26.75672653554835","AIS","male","#86cd45","3.0","2.37","612","0","37","e"
"089-1000005","11","17","233.70990961889922","AIS","female","#a5501f","3.0","2.17","683","2","30","i"
"089-1000093","12","12","233.61614455374726","AIS","male","#a5501f","3.0","2.14","758","2","28","i"
"089-1000057","9","4","59.78719314998726","AIS","male","#86cd45","3.0","2.21","418","0","27","g"
"089-1000019","9","8","105.5690110511417","AIS","female","#86cd45","4.0","2.25","819","0","21","f"
"089-1000061","9","8","102.28635882429191","AIS","male","#374771","3.0","2.33","785","3","40","d"
"089-1000069","9","14","226.88122000657032","AIS","female","#21dfc7","3.0","2.26","798","4","23","f"
"089-1000078","9","9","82.12484757655707","AIS","male","#a5501f","3.0","2.3","531","2","33","i"
"089-1000072","7","12","100.45522935695479","AIS","male","#a5501f","3.0","2.45","461","2","25","a"
"089-1000046","5","6","36.46129617343349","AIS","female","#c458b7","4.0","2.62","483","1","31","h"
"089-1000067","5","14","88.34717056100148","AIS","male","#a5501f","3.0","2.55","758","2","23","e"
"089-1000002","11","13","195.0046766062978","AIS","male","#c458b7","3.0","2.22","745","1","20","f"
"089-1000064","15","9","166.12704609657337","AIS","male","#a5501f","3.0","2.12","707","2","25","a"
"089-1000029","6","7","52.22978626993832","AIS","male","#21dfc7","3.0","2.49","750","4","31","d"
"089-1000098","11","8","106.74071310153465","AIS","male","#c458b7","3.0","2.21","821","1","39","d"
"089-1000040","9","9","144.12899654911024","AIS","male","#a5501f","3.0","2.3","797","2","29","h"
"089-1000001","7","5","49.471695684776186","AIS","male","#21dfc7","3.0","2.37","812","4","32","d"
"089-1000070","7","9","79.01913662159897","AIS","female","#21dfc7","4.0","2.49","445","4","20","c"
"089-1000051","13","15","235.14158689190361","AIS","male","#b3772e","3.0","2.16","697","5","38","i"
"089-1000075","11","9","119.38494336688997","AIS","male","#21dfc7","3.0","2.32","461","4","37","d"
"089-1000013","8","7","91.09474372976246","AIS","male","#374771","3.0","2.33","618","3","25","e"
"089-1000037","11","11","187.05764881597003","AIS","female","#a5501f","3.0","2.15","813","2","29","g"
"089-1000096","8","13","125.9390675158748","AIS","female","#21dfc7","4.0","2.39","524","4","32","e"
"089-1000053","9","9","103.36889638311465","AIS","male","#b3772e","3.0","2.29","687","5","38","a"
"089-1000082","11","14","226.05706165023776","AIS","female","#86cd45","3.0","2.14","725","0","26","h"
"089-1000022","12","8","107.61321361929936","AIS","female","#374771","3.0","2.28","887","3","27","h"
"089-1000036","11","6","71.88500221163498","AIS","male","#b3772e","3.0","2.21","822","5","21","d"
"089-1000065","10","14","157.90947728097495","AIS","male","#374771","3.0","2.27","746","3","27","g"
"089-1000062","10","11","81.29879179091053","AIS","female","#a5501f","4.0","2.25","410","2","39","i"
"089-1000025","13","15","217.88831370921466","AIS","male","#a5501f","3.0","2.18","521","2","29","a"
"089-1000047","12","11","131.24482554039204","AIS","female","#86cd45","3.0","2.18","595","0","28","b"
